Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
canasto-de-flores,Canasta de Gerberas,"<p> </p>
<p><span style=""text-decoration: underline;""><strong></strong></span>Comparte con un ser querido la belleza y alegría de estas frescas flores en un día para recordar por siempre.</p>
<div class=""product-options hidden-xs hidden-sm"">
<div class=""description""></div>
</div>",floreria suecia,,,"",false,Title,Default Title,,,,,"",1000.0,,-31,deny,manual,29990,49990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/72.png?v=1598066139,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
arreglo-13-rosas-rojas,Arreglo en base rústica,"<div class=""product-options hidden-xs hidden-sm"">
<div class=""description"">
<p>Clásico y elegante arreglo de hermosas rosas ecuatorianas, acompañadas de finos crisantemos y toques de ilusión.</p>
</div>
</div>",floreria suecia,,,"",true,Title,Default Title,,,,,"",1000.0,,-42,deny,manual,39990,,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/68.png?v=1598065866,1,,false,,,,,,,,,,,,,,,,,kg,,,active
ramo-12-rosas-rojas,Bouquet premium de rosas,"<p>Delicado bouquet de rosas ecuatorianas en color rojo pensado para revivir momentos mágicos.</p>
<p> </p>",floreria suecia,,,"",true,Cantidad de rosas,8,,,,,"",1000.0,,-713,deny,manual,24990,44990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/8rosas.png?v=1644671804,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0336/9346/6669/products/8rosas.png?v=1644671804,kg,,,active
ramo-12-rosas-rojas,,,,,,,,,12,,,,,"",1000.0,,-139,deny,manual,29990,45000,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/WhatsAppImage2022-01-19at4.51.19PM_1.png?v=1644671804,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0336/9346/6669/products/8rosas.png?v=1644671804,kg,,,
ramo-12-rosas-rojas,,,,,,,,,24,,,,,"",1000.0,,-24,deny,manual,49990,80000,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/1a1_Cata.jpg?v=1644671804,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0336/9346/6669/products/8rosas.png?v=1644671804,kg,,,
ramo-12-rosas-rojas,,,,,,,,,50,,,,,"",1000.0,,-1,deny,manual,79990,44990,true,false,"",,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0336/9346/6669/products/WhatsAppImage2022-01-19at4.51.19PM_1.png?v=1644671804,kg,,,
ramo-12-rosas-rojas,,,,,,,,,100,,,,,"",1000.0,,-1,deny,manual,169990,44990,true,false,"",,,,,,,,,,,,,,,,,,,,,kg,,,
colorido-y-alegre-ramo-de-flores-mixtas,Alegre ramo de flores mixtas,"<p><span>C</span>olorido y alegre ramo de flores mixtas con suaves toques de ilusión y una gran diversidad de follaje y flores.</p>
<p><strong>Medidas aproximadas<br></strong>35 a 45 cm de altura<br></p>
<p><strong>Contiene:<br></strong>1 Girasol<br>2 Rosas de color (Color depende del stock del día)<br>1 Hortensia <span data-mce-fragment=""1"">(Color depende del stock del día)<br></span><span data-mce-fragment=""1"">1 Lilium (Color depende del stock del día)<br>3 Varas de lisianthus (Color depende del stock del día)<br>2 Varas de maule (Color depende del stock del día)<br>Follaje de temporada<br>Papel y cinta</span></p>
<ul></ul>
<p><em>Nuestros arreglos están sujetos en cambios en flores dependiendo del stock de estas y la temporada en la que nos encontremos, a pesar de esto, garantizamos que el producto será de excelente calidad y diseño.</em></p>
<p> es decir, las flores en este arreglo varían de acuerdo al stock del dia</p>
<div class=""product-options hidden-xs hidden-sm"">
<div class=""description""></div>
</div>",floreria suecia,,,"",true,Title,Default Title,,,,,"",1000.0,,-265,deny,manual,24990,32990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/ramodefloresmix.png?v=1642788168,1,,false,,,,,,,,,,,,,,,,,kg,,,active
colorido,Canastillo de flores mixto mediano,"<p><strong>Medidas aproximadas<br></strong>35 a 45 cm de altura<br></p>
<p><strong>Contiene:<br></strong>3 Gerberas<span data-mce-fragment=""1""> (Color depende del stock del día)<br>2 Girasoles (Color depende del stock del día)<br>5 Varas de lisianthus  (Color depende del stock del día)<br>Follaje de temporada<br>Canastillo pequeño (10-12 cm de diámetro)<br></span></p>
<p><em>Nuestros arreglos están sujetos en cambios en flores y florero dependiendo del stock de estos y la temporada en la que nos encontremos, a pesar de esto, garantizamos que el producto será de excelente calidad y diseño.</em></p>",Florería Suecia,,,"",false,Title,Default Title,,,,,"",1000.0,,49,deny,manual,29990,39990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/74.png?v=1598066195,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
caja-1,Caja Superpapá (Austral y Misiones de Rengo),"<div>
<strong></strong>Si estás pensando en el regalo para el mejor padre; aquí está la solución ; una gran caja de madera diseño rústico con finos productos para celebrar ese día, combinando lo dulce y salado acompañado de un buen vino y una fresca cerveza, decorado con elegante papel bicolor metalizado y un lindo mensaje en la pizarra.<br>
</div>
<div></div>
<div><br></div>
<div></div>
<div></div>
<div>
<strong>Ocasión: </strong>Regalo especial Día del Padre</div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div><strong>Medidas:</strong></div>
<div>Caja de  30 X 30 cms<br>
</div>
<div>Alto       40 X 50 cms</div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div><strong></strong></div>
<div>
<strong>Productos:</strong><br>
</div>
<div><strong></strong></div>
<div><strong></strong></div>
<div><strong></strong></div>
<div></div>
<div></div>
<div></div>
<div></div>
<div>Pasteles surtidos              ( cuatro unidades )</div>
<div></div>
<div></div>
<div>
<div>Queque individual           ( seis unidades )<br>
</div>
<div>Queque </div>
<div>Alfajores de maicena        ( seis unidades )<br>
</div>
</div>
<div>
<div>Vino Misiones de Rengo  ( 750 cc )</div>
<div>Cerveza Austral                 ( 330 cc )</div>
</div>
<div>Queso camembert            ( 100 gramos )</div>
<div>Salamin artesanal Receta del abuelo </div>
<div>Aceitunas                          (100 gramos ) </div>
<div>Maní salado                      ( 100 gramos )</div>
<div>Almendras                         (100 gramos )</div>
<div>Pepinillos                           (100 gramos )</div>
<div>Mini pan de molde</div>
<div>Caja de madera cepillada con pizarra incorporada </div>
<p><br></p>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">Este producto<span> </span><strong>no</strong><span> </span>es un desayuno</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;"">la entrega se efectuará entre las 9.00 y 20.00 hrs.</span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""></span></span></div>
<div style=""padding-left: 30px; text-align: center;""><span style=""text-decoration: underline;""><span style=""color: #ff2a00; text-decoration: underline;""><strong>Entregas en</strong><span> : Ñuñoa, Macul, Providencia, La reina, Las condes, Vitacura.</span></span></span></div>
<div></div>",Florería Suecia,,,Papá,false,Title,Default Title,,,,,"",1000.0,,0,continue,manual,49990,59990,true,false,"",https://cdn.shopify.com/s/files/1/0336/9346/6669/products/Porlascondicionesactualesrelacionadasalcoronavirus_podrianefectuarsecambiosenlasfloresincluidasenlosarreglos.Estasseranintercambiadasporlasquetengamosenstock_15.png?v=1597211110,1,,false,,,,,,,,,,,,,,,,,kg,,,draft
